Q,A
Здравствуйте,Здравствуйте
"Мой компьютер не включается, что мне теперь делать?","Сначала проверьте шнур питания компьютера, чтобы убедиться, что он полностью вставлен в розетку. Если вы используете штепсельную вилку, убедитесь, что она полностью вставлена в розетку и что выключатель питания на штепсельной вилке включен. Некоторые штекерные колодки также имеют встроенный автоматический выключатель, который обычно выглядит как черная или красная кнопка рядом с выключателем питания. Нажмите кнопку, чтобы сбросить его, и посмотрите, решит ли это проблему."
"Что мне делать, если мой компьютер выходит из строя?","Есть много причин, по которым компьютер может просто перестать работать или «зависнуть». В большинстве случаев мы мало что можем с этим поделать. Это факт жизни, что компьютерные программы стали настолько сложными, что иногда пользователи будут испытывать проблемы даже при выполнении обычных задач. Когда ваш компьютер больше не реагирует на команды с клавиатуры, лучше всего перезагрузить компьютер."
"Что мне делать, если мой жесткий диск не работает?","Как и в случае с большинством компьютерных ошибок, первым делом необходимо выключить компьютер и перезагрузить его. Это поможет вам определить, действительно ли у вас проблема с жестким диском. Если диск серьезно поврежден, ваш компьютер, вероятно, не сможет правильно перезагрузиться. В этом случае обратитесь в MCWare IT Solutions, это работа для профессионалов."
"На мониторе нет изображения, что мне теперь делать?","Убедитесь, что монитор включен. Если на дисплее монитора не отображается индикатор питания (зеленый или оранжевый), попробуйте нажать кнопку питания, пока она не загорится. Если монитор вашего компьютера был включен, и вы отошли от него, а после возвращения он был черным, вероятно, компьютер спит. Попробуйте переместить мышь, щелкнуть кнопками мыши и / или нажать любую клавишу (пробел) на клавиатуре, чтобы вывести ее из спящего режима. Убедитесь, что монитор правильно подключен к задней части компьютера."
"Что мне делать, если изображение на моем мониторе искажено или перекошено?","Вы можете получить искаженное изображение, если кабель отсоединен или неисправен. Отсоедините видеокабель, идущий от задней части компьютера, и убедитесь, что контакты не погнуты, не сожжены и не сломаны. После проверки повторно подключите кабель монитора. Если частота обновления не установлена должным образом, монитор может иметь волнистый вид или вид, что линии уходят вниз или поперек монитора медленно или быстро, это также может вызвать эффект мерцания. Искаженное изображение может быть вызвано магнитными или другими помехами. Убедитесь, что рядом с монитором нет динамиков, вентиляторов или других магнитных устройств."
"На моем мониторе появляется сообщение «Нет входного сигнала», что мне делать?","Убедитесь, что монитор правильно подключен как к задней части монитора, так и к задней части компьютера. Если кажется, что монитор подключен правильно, убедитесь, что кабель не ослаблен, отсоединив все кабели, которые можно отсоединить на задней панели монитора (обычно кабель для передачи данных отсоединять нельзя). Затем отсоедините кабель для передачи данных, подключенный к задней части компьютера, а затем снова подсоедините кабель. При подключении кабеля к задней части компьютера убедитесь, что кабель надежен. У большинства компьютеров также есть концы винтов, которые можно вкрутить, чтобы удерживать разъем на месте."
"На экране моего монитора есть черные рамки, что мне делать?","Если разрешение было недавно изменено, возможно, монитор не будет автоматически настраиваться или переместиться на правильный размер. В этом случае разрешение можно вернуть к исходному значению или настроить монитор вручную. Если на мониторе есть черная рамка, ее обычно можно устранить, отрегулировав ширину по горизонтали или вертикали вручную. Поскольку каждый монитор отличается, метод регулировки этого параметра может быть разным: обратитесь к документации вашего монитора."
"Почему моя компьютерная мышь работает хаотично?","Пользователи, у которых есть оптико-механическая мышь (самая распространенная мышь для настольных компьютеров), вероятно, испытывают неустойчивое поведение, потому что мышь не чистая или грязная. Если вы очистили мышь и продолжаете сталкиваться с проблемами, и эта мышь в прошлом работала нормально, к сожалению, ваша мышь, скорее всего, неисправна. Еще один дополнительный тест, который может помочь определить, так ли это, - это подключить мышь к другому компьютеру. В противном случае мы предлагаем заменить мышь."
"Колесико мыши не работает должным образом, что мне делать?","Если вы используете любую версию Microsoft Windows и у вас возникают проблемы с колесом мыши, сначала попробуйте настроить параметры мыши в окне свойств мыши. В это окно можно попасть, открыв панель управления и дважды щелкнув значок мыши."
"Как почистить клавиатуру?","Клавиши на клавиатуре только защелкиваются ножом или другим тонким предметом, осторожно вытащите клавиши, это позволит вам чистить под клавишами, а также чистить сами клавиши (убедитесь, что вы помните, куда они попали!) ."
"Как перейти в безопасный режим компьютера?","Чтобы войти в безопасный режим Windows 7/10, во время загрузки компьютера нажмите и удерживайте клавишу «F8», после чего должно появиться «Меню дополнительных параметров Windows». С помощью клавиш со стрелками перейдите в «Безопасный режим» и нажмите клавишу Enter."
"Я не могу удалить файл, потому что он используется Windows, что мне делать?","Закройте все программы, запущенные на компьютере, и попробуйте еще раз. Если после закрытия всех программ, запущенных на компьютере, вы по-прежнему сталкиваетесь с той же проблемой при попытке удалить файлы, загрузите компьютер в безопасном режиме и удалите файлы."
"Как я могу обновить свой компьютер Microsoft Windows?","Если вы используете Microsoft Windows 7, Windows 10 или более позднюю версию Microsoft Windows, вы имеете право обновить Microsoft Windows, а в некоторых случаях и оборудование вашего компьютера до последних версий драйверов через сайт обновлений Microsoft, посетите http: // windowsupdate .microsoft.com. В большинстве случаев ваш компьютер должен быть настроен на автоматическое обновление, когда становится доступно новое обновление."
"Безопасно ли выключать компьютер с Windows, не завершая работу?","Пользователям не следует просто нажимать кнопку питания или перезагружать компьютер при работающей Windows, если с компьютером не возникла проблема. Microsoft включила функцию выключения, поскольку она позволяет компьютеру выполнить все необходимые действия перед выключением компьютера. Фактически, многие версии Microsoft Windows будут проверять компьютер на наличие проблем, если компьютер не выключен должным образом."
"Как восстановить файл из корзины?","Дважды щелкните значок корзины на рабочем столе, здесь вы увидите все файлы в корзине. Выберите файлы, которые вы хотите восстановить, щелкните правой кнопкой мыши и выберите «Восстановить»."
"Я не могу отправлять или получать электронную почту?","Убедитесь, что ваш компьютер может видеть Интернет и / или другие компьютеры, чтобы убедиться, что на вашем компьютере не возникает проблем с подключением, которые могли бы вызвать проблему с электронной почтой. Убедитесь, что ваш сервер электронной почты в Интернете или сервер электронной почты в сети не вызывает проблем, обратившись к поставщику услуг Интернета или администратору сети."
"Я не могу получать вложения к электронным письмам?","Если ящик электронной почты заполнен другими сообщениями электронной почты и / или ваше пространство для хранения составляет всего несколько мегабайт, возможно, отправленное вложение не может быть получено. Часто, если возникает эта проблема, человек, отправляющий электронное письмо, должен получить ответ от вашего почтового сервера, указывающий, что ваш почтовый ящик заполнен и / или превысил выделенный ему размер. Поскольку компьютерные вирусы и другие вредоносные программы лучше всего распространяются через электронную почту, многие поставщики услуг электронной почты, компании и программы электронной почты предотвращают распространение или получение определенных типов расширений файлов по электронной почте. Например, Microsoft Outlook защищает своих пользователей, автоматически запрещая получение определенных типов расширений файлов по электронной почте."
"Разрешены ли пробелы в адресах электронной почты?","Как и в случае с URL-адресом в Интернете, в адресе электронной почты не допускаются пробелы. Однако имена можно разделить с помощью точки: например, у Джона Смита может быть адрес электронной почты: john.smith@example.com или john.s@example.com, поскольку в адресе электронной почты нельзя использовать пробелы."
"Мой принтер печатает смазанные / искаженные страницы, что мне делать?","При печати на нетрадиционной бумаге на вашем принтере могут появляться пятна, неравномерный или искривленный текст и / или текст, выходящий за края бумаги. Ваш принтер может печатать нечеткий, размытый и / или другой бледный текст из-за грязных печатающих головок. Все современные принтеры имеют режим очистки, самопроверки и / или диагностики, который может быть выполнен для проверки и очистки печатающих головок принтера и другого внутреннего оборудования, используемого для печати."
"Как исправить замятие бумаги?","Выключите принтер. Осмотрите место или лоток, в который выходит распечатанная бумага. Если видна застрявшая бумага, удалите ее вручную. Удалите все лотки для бумаги и всю бумагу, которая может застрять между лотком и принтером. Если видна застрявшая бумага, удалите ее вручную. Откройте дверцу принтера, через которую можно получить доступ к картриджам с чернилами или тонеру, и поищите застрявшую бумагу. Если видна застрявшая бумага, удалите ее вручную. Снова включите принтер."
"Я потерял установочный диск для принтера, как мне установить принтер?","К счастью, отсутствующий установочный диск для принтера - это еще не конец света, и вам не придется ждать, пока вам пришлют новый диск. Сегодня все производители принтеров и другого оборудования предоставляют загружаемые через Интернет свои программы и драйверы, которые включены в их продукты."
