Q,A
"Не включается компьютер","проверьте наличие питания в розетке, горит ли лампочка на сетевом фильтре"
"Нет изображения на мониторе","Есть ли надписи на мониторе, например no signal"
"да, надпись есть","попробуйте включить системный блок, если ситуация не изменилась оставьте запрос в службу ТП"
"как оставить запрос в службу ТП","воспользуйтесь формой по ссылке https"
"не печатает принтер","основные неисправности связаны с замятием или отсутствием бумаги, отсутствием тонера, отсутвием питания на устройстве"
"принтер печатает полосами","неисправны внутренние компоненты принтера, оставьте запрос в службу ТП"
"при копировании документа печатает полосы","попал посторонний предмет в лоток подачи сканера, удалите предмет или оставьте запрос в службу ТП"
"не открываются сайты","возможно отсутствует подключение к интернету или вы пытаетесь зайти на сайт, запрещенный политикой безопасности компании"
"не работает почта","возможно нет интернета или не работает почтовый сервер, оставьте запрос в службу ТП"
"не открывается 1С","оставьте запрос в службу поддержки 1С"
"закончилась бумага в принтере","возьмите бумагу нужного формата, откройте лоток принтера, положите туда бумагу ровной стопкой, плотно закройте лоток принтера"
"не запускаются программы","попробуйте перезагрузить компьютер, если нет эффекта оставьте запрос в службу ТП"
"не работает звук","посмотрите что подключено звуковое устройство, уровень громкости не установлен на минимум и звук на компьютере включен"
"у компьютера гаснет экран каждые пять минут","у вас включен режим энергосбережния или так настроен режим работы экрана, обратитесь в службу ТП"
"у клавиатуры не работают клавиши","возможно Ваша клавиатура требует замены, обратитесь в службу ТП"
"мне нужно перевести документ в pdf","при печати выберите вместо текущего принтера пункты печать в pdf, далее место сохранения файла и нажмите печать"
"не удается открыть файл","возможно у вас нет нужной программы, обратитесь в службу ТП"
"антивирус сообщил о вирусах","действуйте согласно пунктам предлагаемым антивирусом или обратитесь в службу ТП"
"файл открылся но в нем непонятные символы","сбилась кодировка файла, обратитесь в службу ТП"
"архив документов при открытие выдает ошибку","повреждение архива, нужно скачать архив заново"
"недоступны файловые ресурсы","возникла проблема с подключением файловых ресурсов, попробуйте перезагрузить компьютер"
"как забронировать переговорную","для бронирования переговорной воспользуйтес инструкцией по ссылке бронирование переговорных"
"не работает мышь","если мышь проводная, возможно выдернут шнур из компьютера, если мышь беспроводная, то могли сесть батарейки, мышь может быть выключена тумблером, или нарушилась связь с адаптером. для устранения последнего перезагрузите компьютер"
"значки на рабочем столе слишком мелкие","нажмине правой кнопкой мыши на рабочий стол, выберите вид, крупные значки"
"компьютер не включается и пищит","компьютер неисправен, вызовите специалиста, оставив запрос в службу ТП"
